"eBird中文俗名
(紅字表示系統尚無中文俗名)",eBird英文俗名,eBird學名,"現行臺灣鳥類名錄中文名
(與eBird中文俗名相異者以紅字標示)","現行臺灣鳥類名錄學名
(與eBird學名相異者以紅字標示)","2025
全球紅皮書等級",eBird英文俗名簡碼,eBird學名簡碼,"eBird網頁代碼
species code",分類排序編號,eBird外來種狀態,"eBird中文俗名
(香港)","eBird中文俗名
(簡體)",其他中文俗名,PhotoLink,Credit,MLCode
樹鴨,Lesser Whistling-Duck,Dendrocygna javanica,樹鴨,Dendrocygna javanica,LC,LEWD LWDU,DEJA,lewduc1,258,,栗樹鴨,栗树鸭,,,,
斑頭雁,Bar-headed Goose,Anser indicus,斑頭雁,Anser indicus,LC,BHGO,ANIN,bahgoo,265,,斑頭雁,斑头雁,,,,
灰雁,Graylag Goose,Anser anser,灰雁,Anser anser,LC,GRGO,ANAN,gragoo,275,,灰雁,灰雁,,,,
鴻雁,Swan Goose,Anser cygnoides,鴻雁,Anser cygnoides,EN,SWGO,ANCY,swagoo1,281,,鴻雁,鸿雁,,,,
白額雁,Greater White-fronted Goose,Anser albifrons,白額雁,Anser albifrons,LC,GWFG,ANAL,gwfgoo,287,,白額雁,白额雁,,,,
小白額雁,Lesser White-fronted Goose,Anser erythropus,小白額雁,Anser erythropus,VU,LWFG,ANER,lwfgoo,299,,小白額雁,小白额雁,,,,
寒林豆雁,Taiga Bean-Goose,Anser fabalis,寒林豆雁,Anser fabalis,LC,BEGO TBGO TABG,ANFA,taibeg1,301,,寒林豆雁,豆雁,大雁,,,
凍原豆雁,Tundra Bean-Goose,Anser serrirostris,凍原豆雁,Anser serrirostris,LC,BEGO TBGO TUBG,ANSE,tunbeg1,306,,凍原豆雁,短嘴豆雁,大雁,,,
黑雁,Brant,Branta bernicla,黑雁,Branta bernicla,LC,BRGO BRAN,BRBE,brant,314,,黑雁,黑雁,,,,
小加拿大雁,Cackling Goose,Branta hutchinsii,小加拿大雁,Branta hutchinsii,LC,CAGO CACG,BRHU,cacgoo1,331,,小美洲黑雁,小美洲黑雁,,,,
疣鼻天鵝,Mute Swan,Cygnus olor,疣鼻天鵝,Cygnus olor,LC,MUSW,CYOL,mutswa,377,逃逸種,疣鼻天鵝,疣鼻天鹅,瘤鵠,,,
小天鵝,Tundra Swan,Cygnus columbianus,小天鵝,Cygnus columbianus,LC,BESW TUSW,CYCO,tunswa,384,,,小天鹅,鵠,,,
黃嘴天鵝,Whooper Swan,Cygnus cygnus,黃嘴天鵝,Cygnus cygnus,LC,WHSW WHOS,CYCY,whoswa,390,,大天鵝,大天鹅,,,,
瀆鳧,Ruddy Shelduck,Tadorna ferruginea,瀆鳧,Tadorna ferruginea,LC,RUSH,TAFE,rudshe,421,,赤麻鴨,赤麻鸭,,,,
花鳧,Common Shelduck,Tadorna tadorna,花鳧,Tadorna tadorna,LC,COSH COMS,TATA,comshe,426,,翹鼻麻鴨,翘鼻麻鸭,,,,
棉鴨,Cotton Pygmy-Goose,Nettapus coromandelianus,棉鴨,Nettapus coromandelianus,LC,COPG CPGO,NECO,copgoo1,449,,棉鳧,棉凫,,,,
鴛鴦,Mandarin Duck,Aix galericulata,鴛鴦,Aix galericulata,LC,MADU,AIGA,manduc,457,,鴛鴦,鸳鸯,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/563763211/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML563763211
巴鴨,Baikal Teal,Sibirionetta formosa,巴鴨,Sibirionetta formosa,LC,BATE,SIFO,baitea,478,,花臉鴨,花脸鸭,,,,
白眉鴨,Garganey,Spatula querquedula,白眉鴨,Spatula querquedula,LC,GARG,SPQU,gargan,479,,白眉鴨,白眉鸭,,,,
琵嘴鴨,Northern Shoveler,Spatula clypeata,琵嘴鴨,Spatula clypeata,LC,NOSH NSHO,SPCL,norsho,501,,琵嘴鴨,琵嘴鸭,,,,
赤膀鴨,Gadwall,Mareca strepera,赤膀鴨,Mareca strepera,LC,GADW,MAST,gadwal,505,,赤膀鴨,赤膀鸭,紫膀鴨,,,
羅文鴨,Falcated Duck,Mareca falcata,羅文鴨,Mareca falcata,LC,FADU,MAFA,falduc,509,,羅紋鴨,罗纹鸭,,,,
赤頸鴨,Eurasian Wigeon,Mareca penelope,赤頸鴨,Mareca penelope,LC,EUWI,MAPE,eurwig,512,,赤頸鴨,赤颈鸭,,,,
葡萄胸鴨,American Wigeon,Mareca americana,葡萄胸鴨,Mareca americana,LC,AMWI,MAAM,amewig,517,,綠眉鴨,绿眉鸭,,,,
呂宋鴨,Philippine Duck,Anas luzonica,呂宋鴨,Anas luzonica,LC,PHDU,ANLU,phiduc1,539,,棕頸鴨,棕颈鸭,,,,
花嘴鴨,Eastern Spot-billed Duck,Anas zonorhyncha,花嘴鴨,Anas zonorhyncha,LC,CSBD ESBD,ANZO,spbduc,543,,中華斑嘴鴨,斑嘴鸭,斑嘴鴨,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/240973301/1200,©Ting-Wei (廷維) HUNG (洪),ML240973301
綠頭鴨,Mallard,Anas platyrhynchos,綠頭鴨,Anas platyrhynchos,LC,MALL,ANPL,mallar3,545,,綠頭鴨,绿头鸭,野鴨,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/615484573/1200,©小七 陳,ML615484573
尖尾鴨,Northern Pintail,Anas acuta,尖尾鴨,Anas acuta,LC,NOPI,ANAC,norpin,594,,針尾鴨,针尾鸭,,,,
小水鴨,Green-winged Teal,Anas crecca,小水鴨,Anas crecca,LC,EUTE CWTE EWTE GWTE,ANCR,gnwtea,612,,綠翅鴨,绿翅鸭/美洲绿翅鸭,,,,
赤嘴潛鴨,Red-crested Pochard,Netta rufina,赤嘴潛鴨,Netta rufina,LC,RCPO,NERU,recpoc,660,,赤嘴潛鴨,赤嘴潜鸭,,,,
帆背潛鴨,Canvasback,Aythya valisineria,帆背潛鴨,Aythya valisineria,LC,CANV,AYVA,canvas,666,,,帆背潜鸭,美洲磯雁,,,
紅頭潛鴨,Common Pochard,Aythya ferina,紅頭潛鴨,Aythya ferina,VU,COPO COMP,AYFE,compoc,670,,紅頭潛鴨,红头潜鸭,磯雁,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/124695961/1200,©Giambi (鈞弼) Chang (張),ML124695961
環頸潛鴨,Ring-necked Duck,Aythya collaris,環頸潛鴨,Aythya collaris,LC,RNDU,AYCO,rinduc,673,,,环颈潜鸭,,,,
白眼潛鴨,Ferruginous Duck,Aythya nyroca,白眼潛鴨,Aythya nyroca,NT,FEDU,AYNY,ferduc,677,,白眼潛鴨,白眼潜鸭,,,,
青頭潛鴨,Baer's Pochard,Aythya baeri,青頭潛鴨,Aythya baeri,CR,BAPO,AYBA,baepoc1,681,,青頭潛鴨,青头潜鸭,,,,
鳳頭潛鴨,Tufted Duck,Aythya fuligula,鳳頭潛鴨,Aythya fuligula,LC,TUDU,AYFU,tufduc,687,,鳳頭潛鴨,凤头潜鸭,澤鳧,,,
斑背潛鴨,Greater Scaup,Aythya marila,斑背潛鴨,Aythya marila,LC,GRSC,AYMA,gresca,694,,斑背潛鴨,斑背潜鸭,鈴鴨 玲鴨,,,
小斑背潛鴨,Lesser Scaup,Aythya affinis,小斑背潛鴨,Aythya affinis,LC,LESC,AYAF,lessca,700,,,小潜鸭,,,,
斑臉海番鴨,Stejneger's Scoter,Melanitta stejnegeri,斑臉海番鴨,Melanitta stejnegeri,LC,SISC,MEST,whwsco1,731,,,,,,,
長尾鴨,Long-tailed Duck,Clangula hyemalis,長尾鴨,Clangula hyemalis,VU,LTDU,CLHY,lotduc,741,,長尾鴨,长尾鸭,,,,
鵲鴨,Common Goldeneye,Bucephala clangula,鵲鴨,Bucephala clangula,LC,COGO,BUCL,comgol,743,,鵲鴨,鹊鸭,,,,
白秋沙,Smew,Mergellus albellus,白秋沙,Mergellus albellus,LC,SMEW,MEAL,smew,752,,白秋沙鴨,斑头秋沙鸭 (白秋沙鸭),,,,
川秋沙,Common Merganser,Mergus merganser,川秋沙,Mergus merganser,LC,GOOS COME,MEME,commer,762,,普通秋沙鴨,普通秋沙鸭,,,,
紅胸秋沙,Red-breasted Merganser,Mergus serrator,紅胸秋沙,Mergus serrator,LC,RBME,MESE,rebmer,770,,紅胸秋沙鴨,红胸秋沙鸭,海秋沙,,,
唐秋沙,Scaly-sided Merganser,Mergus squamatus,唐秋沙,Mergus squamatus,EN,SSME,MESQ,scsmer1,774,,中華沙秋鴨,中华秋沙鸭,,,,
臺灣山鷓鴣,Taiwan Partridge,Arborophila crudigularis,臺灣山鷓鴣,Arborophila crudigularis,LC,TAPA,ARCR,taipar1,1210,,,台湾山鹧鸪,深山竹雞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/534924371/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML534924371
黑長尾雉,Mikado Pheasant,Syrmaticus mikado,黑長尾雉,Syrmaticus mikado,LC,MIPH,SYMI,mikphe1,1468,,,黑长尾雉,帝雉,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/616320905/1200,©Chien-wei Tseng,ML616320905
環頸雉,Ring-necked Pheasant,Phasianus colchicus,環頸雉,Phasianus colchicus,LC,RNPH COPH RNEP,PHCO,rinphe1,1477,,環頸雉,环颈雉,雉雞 啼雞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/256448121/1200,©Ting-Wei (廷維) HUNG (洪),ML256448121
藍腹鷴,Swinhoe's Pheasant,Lophura swinhoii,藍腹鷴,Lophura swinhoii,NT,SWPH,LOSW,swiphe1,1527,,,蓝腹鹇,藍鷴,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/623903160/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML623903160
藍孔雀,Indian Peafowl,Pavo cristatus,藍孔雀,Pavo cristatus,LC,INPE,PACR,compea,1573,歸化種,藍孔雀,蓝孔雀,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/393068461/1200,©Ting-Wei (廷維) HUNG (洪),ML393068461
臺灣竹雞,Taiwan Bamboo-Partridge,Bambusicola sonorivox,臺灣竹雞,Bambusicola sonorivox,LC,TBPA TABP,BASO,taibap1,1617,,,台湾竹鸡,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/491391231/1200,©一起 呂,ML491391231
小鵪鶉,Blue-breasted Quail,Synoicus chinensis,小鵪鶉,Synoicus chinensis,LC,KIQU BBQU ABQU,SYCH,blbqua1,1726,,藍胸鶉,蓝胸鹑,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/257083811/1200,©He Ji-geng,ML257083811
鵪鶉,Japanese Quail,Coturnix japonica,鵪鶉,Coturnix japonica,NT,JAQU,COJA,japqua,1744,,鵪鶉,鹌鹑,,,,
野鴿(野化),Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),野鴿,Columba livia,LC,FEPI ROPI RODO,COLI,rocpig1,1868,歸化種,原鴿 (Feral Pigeon),原鸽 (野化家鸽),,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/207416121/1200,©Jhih-Wei (志偉) TSAI (蔡),ML207416121
灰林鴿,Ashy Wood-Pigeon,Columba pulchricollis,灰林鴿,Columba pulchricollis,LC,ASWO AWPI ASWP,COPU,aswpig1,1908,,,灰林鸽,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/619427463/1200,©Po-Wei Chi,ML619427463
黑林鴿,Black Wood-Pigeon,Columba janthina,黑林鴿,Columba janthina,LC,BLWP JAWO BWPI,COJA,jawpig1,1914,,,黑林鸽,烏鳩,,,
白喉林鴿,Metallic Pigeon,Columba vitiensis,白喉林鴿,Columba vitiensis,LC,MEPI WTPI,COVI,metpig1,1920,,,白喉林鸽,,,,
金背鳩,Oriental Turtle-Dove,Streptopelia orientalis,金背鳩,Streptopelia orientalis,LC,OTDO RTDO ORTD,STOR,ortdov,2022,,山斑鳩,山斑鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/300068251/1200,©Jo-Szu [Ross] (若詩) Tsai (蔡),ML300068251
灰斑鳩,Eurasian Collared-Dove,Streptopelia decaocto,灰斑鳩,Streptopelia decaocto,LC,CODO ECDO EUCD,STDE,eucdov,2031,,灰斑鳩,灰斑鸠,,,,
紅鳩,Red Collared-Dove,Streptopelia tranquebarica,紅鳩,Streptopelia tranquebarica,LC,RECD RCDO RTDO RETD,STTR,recdov1,2059,,火斑鳩,火斑鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/617726211/1200,©Allen Lyu,ML617726211
珠頸斑鳩,Spotted Dove,Spilopelia chinensis,珠頸斑鳩,Spilopelia chinensis,LC,ESDO SPDO,SPCH,spodov,2064,,珠頸斑鳩,珠颈斑鸠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/518044761/1200,©Scott (瑞興) LIN(林),ML518044761
斑尾鵑鳩,Barred Cuckoo-Dove,Macropygia unchall,斑尾鵑鳩,Macropygia unchall,LC,BACD BCDO,MAUN,bacdov1,2078,,斑尾鵑鳩,斑尾鹃鸠,,,,
