"漢字","白話字","日語","華語","英語","分類"
"中央尾溜毛","tiong-ng-bóe-liu-mo͘","中央尾羽（ちゅうおうおばね）","","central tail-feathers, central rectrices","尾 bóe"
"塌尾","lap-bóe","凹尾（おうび）","","emarginated","尾 bóe"
"剪仔尾","chián-á-bóe","鋏尾（きょうび）","","forficated tail","尾 bóe"
"燕仔尾","ìⁿ-á-bóe","燕尾（えんび）","","forked tail","尾 bóe"
"噗尾","phok-bóe","凸尾（とつび）","","graduated tail","尾 bóe"
"外尾溜毛","gōa-bóe-liu-mo͘","外側尾羽（そとがわおばね）","","outer tail-feathers, lateral rectrices","尾 bóe"
"尖尾","chiam-bóe","尖尾（せんび）","","pointed tail","尾 bóe"
"尾","bóe","尾（お）","尾羽","rectrices, tail","尾 bóe"
"圓尾","îⁿ-bóe","円尾（丸尾、まるび）","","rounded tail","尾 bóe"
"角仔尾","kak-á-bóe","角尾（かくび）","","square tail","尾 bóe"
"尾筒","bóe-tâng","尾筒（びとう）","","tail coverts","尾 bóe"
"尾溜毛","bóe-liu-mo͘","尾羽（おばね）","","tail feathers","尾 bóe"
"串尾","chhoàn-bóe","吹流し（ふきながし）","","train","尾 bóe"
"櫼仔尾","chiⁿ-á-bóe","楔尾（くさびお）","","wedge-shaped tail","尾 bóe"
"腹肚","bak-tó͘","腹（はら）","腹","abdomen, belly","身軀 sin-khu"
"尻脊骿","kha-chiah-phiaⁿ","背（せ）","背","back, mantle","身軀 sin-khu"
"尻脊骿","kha-chiah-phiaⁿ","上背（じょうはい）","上背","back, mantle, upper mantle","身軀 sin-khu"
"胸坎邊","heng-khám-piⁿ","胸側（きょうそく）","","breast-side","身軀 sin-khu"
"胸坎","heng-khám","胸（むね）","上胸","chest, upper breast","身軀 sin-khu"
"尻川斗","kha-chhng-táu","","","femoral tract","身軀 sin-khu"
"胳下空","koh-ē-khang","脇（わき）","脇","flank","身軀 sin-khu"
"下胸坎","ē-heng-khám","","下胸","lower breast","身軀 sin-khu"
"下尻脊骿","ē-kha-chiah-phiaⁿ","下背（かはい）","下背","lower mantle","身軀 sin-khu"
"腰","io","腰（こし）","腰","rump","身軀 sin-khu"
"肩胛","keng-kah","肩（かた）","","shoulder","身軀 sin-khu"
"身軀邊","sin-khu-piⁿ","体側（たいそく）","","sides","身軀 sin-khu"
"尻川口","kha-chhng-kháu","","泄殖口","vent","身軀 sin-khu"
"腕","óaⁿ","","腕","wrist","身軀 sin-khu"
"跤","kha","足（あし）","腳","foot","跤 kha"
"跤後指","kha-āu-chéng","後趾（こうし）","後趾","hind toe","跤 kha"
"後肢","āu-ki","後肢（こうし）","","hindlimb","跤 kha"
"跤內指","kha-lāi-chéng","内趾（ないし）","","inner toe","跤 kha"
"跤","kha","脚（あし）","","leg","跤 kha"
"肢","ki","肢（あし）","","limb","跤 kha"
"跤瓣","kha-bān","弁足（べんそく）","","lobate foot","跤 kha"
"跤瓣膜","kha-bān-mo̍͘h","弁膜（べんまく）","","lobe","跤 kha"
"跤中央指","kha-tiong-ng-chéng","中趾（ちゅうし）","","middle toe","跤 kha"
"跤爪","kha-jiáu","爪（つめ）","爪","nail, claw","跤 kha"
"跤外指","kha-gōa-chéng","外趾（がいし）","","outer toe","跤 kha"
"跤蹼","kha-pok","蹼足（ぼくそく）","","palmate foot","跤 kha"
"跤長","kha-tn̂g","距（けづめ）","","spur","跤 kha"
"跤長","kha-tn̂g","足距","","tarsal spur","跤 kha"
"跤盤","kha-pôaⁿ","跗蹠（ふしょ）","跗蹠","tarsus","跤 kha"
"腿","thúi","腿（もも）","","thigh","跤 kha"
"跤胴","kha-tâng","脛","脛","tibial","跤 kha"
"跤胴毛","kha-tâng-mo͘","","","tibial feathers","跤 kha"
"跤後蹬","kha-āu-teⁿ","踵（かかと）","","tibio-tarsal articulation, ancle","跤 kha"
"跤指頭仔","kha-chéng-thâu-á","趾（あしゆび）","趾","toe","跤 kha"
"蹼","pok","蹼（みずかき）","蹼","web","跤 kha"
"下喙跤","ē-chhùi-kha","下嘴角（かしかく）","","angle of gonys","頭 thâu"
"耳毛","hīⁿ-mo͘","","耳羽","auriculars","頭 thâu"
"喙底","chhùi-té","嘴底","","base of bill","頭 thâu"
"喙蓋","chhùi-kòa","くちばし","嘴鋒","beak","頭 thâu"
"喙","chhùi","嘴（くちばし）","嘴喙","bill","頭 thâu"
"喙長","chhùi-tn̂g","嘴長","嘴長","bill length","頭 thâu"
"硬毛","ngē-mo͘","","剛毛","bristle","頭 thâu"
"蠟膜","la̍h-mo̍͘h","蝋膜（ろうまく）","蠟膜","cere","頭 thâu"
"喙䫌","chhùi-phóe","頬（ほお）","頰","cheeks","頭 thâu"
"下頦","ē-hâi","顎（あご）","頦","chin","頭 thâu"
"喙空","khih-khang","","嘴裂","commissure","頭 thâu"
"頭殼毛","thâu-khak-mo͘","冠羽（かんう）","羽冠","crest","頭 thâu"
"頭殼","thâu-khak","頭上（とうじょう）","頂冠","crown","頭 thâu"
"喙蓋","chhùi-kòa","嘴峰（しほう）","嘴峰","culmen","頭 thâu"
"喙蓋長","chhùi-kòa-tn̂g","嘴峰長（しほうちょう）","嘴峰長","culmen length","頭 thâu"
"喙縫","chhùi-phāng","嘴縁（しえん）","","cutting edge, tomia of cutting edge","頭 thâu"
"耳毛","hīⁿ-mo͘","羽角（うかく）","","ear-tufts","頭 thâu"
"鼻空外","phīⁿ-khang-gōa","外鼻孔（がいびこう）","外鼻孔","external nostril","頭 thâu"
"目睭","ba̍k-chiu","眼（め）","眼","eye","頭 thâu"
"目箍","ba̍k-kho͘","囲眼羽（いがんう）","眼圈","eye-arcs, eye-ring","頭 thâu"
"目睭線","ba̍k-chiu-sòaⁿ","過眼線（かがんせん）","眼線","eye-line, eye-stripe","頭 thâu"
"面","bīn","顔","臉","face","頭 thâu"
"面模仔","bīn-bô͘-á","顔盤（がんばん）","顏盤","facial discs","頭 thâu"
"額頭","hia̍h-thâu","額（ひたい）","額","forehead","頭 thâu"
"頭額板","thâu-hia̍h-pán","","額板","frontal shield","頭 thâu"
"喙空","chhùi-khang","口角（こうかく）","","gape, angle of mouth","頭 thâu"
"喙斑","chhùi-pan","","","gonydeal angle","頭 thâu"
"喙底線","chhùi-té-sòaⁿ","嘴底線（していせん）","","gonys","頭 thâu"
